"GRANT NUMBER","BUDGET ENTITY","HEAD OF ACCOUNT","HEAD DESCRIPTION","HEAD DESCRIPTION ASSAMESE","Major Head","Sub-Major Head","Minor Head","Sub-Minor Head","Detailed Head","Object Head","Voucher Head","Scheme","Area","Voted_Charged","Actuals_2016_17","Budget_Estimates_2017_18","Revised_Estimates_2017_18","Budget_Estimates_2018_19"
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-01-EE-KN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Pay","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",10.36,44.25552,44.25552,75
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-02-EE-KN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,64.575,64.575,25
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-99-EE-KN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Others","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$অন্যান্য","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Others","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,0,0,2
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-05-EE-KN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,2.5,2.5,2.5
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-06-EE-KN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Medical Allowance","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,2.25,2.25,2.4
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-07-EE-KN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$House Rent Allowance","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,5.5799,5.5799,5.85
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-08-EE-KN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,2.5,2.5,3
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-03-00-EE-KN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Travel Expenses","NULL","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0.14,7.5,7.5,0
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-04-99-EE-KN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Office Expenses$Others","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$কাৰ্য্যালয় ব্যয়$অন্যান্য","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Office Expenses","Others","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,15,15,15
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-06-02-EE-KN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Rents, Rates & Taxes / Royalty$Rates &Taxes","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$ভাড়া, নিৰিখ আৰু কৰ/ ৰয়েল্টি$ভাড়া আৰু কৰ","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Rents, Rates & Taxes / Royalty","Rates &Taxes","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,1,1,0
"3 - Administration of justice","Guwahati High Court (R)","2041-00-800-3880-000-01-99-EE-GA-V","Taxes on Vehicles$NULL$Other Expenditure$Motor Accident Claim$NULL$Salaries$Others","যান বাহনৰ ওপৰত কৰ$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$অন্যান্য","Taxes on Vehicles","NULL","Other Expenditure","Motor Accident Claim","NULL","Salaries","Others","Establishmet Expenditure","General Area","Voted",0,0,0,1
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-01-EE-NN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Pay","Establishmet Expenditure","North Cachar Non-entrusted","Voted",1.97,83.03664,83.03664,190
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-02-EE-NN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,120.2544,120.2544,30
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-99-EE-NN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Others","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$অন্যান্য","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Others","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,2,2,0
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-05-EE-NN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,2.5,2.5,3
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-06-EE-NN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Medical Allowance","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,5.226,5.226,5.5
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-07-EE-NN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$House Rent Allowance","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,10.61971,10.61971,11
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-08-EE-NN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,2.5,2.5,3
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-03-00-EE-NN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Travel Expenses","NULL","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,1,1,0
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-01-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Pay","Establishmet Expenditure","North Cachar Non-entrusted","Voted",6.39,44.25552,44.25552,75
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-02-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,64.575,64.575,25
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-19-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Hill Allowance","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$পাৰ্বত্য ভাত্তা","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Hill Allowance","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,0,0,2
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-05-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,2.5,2.5,3
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-06-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Medical Allowance","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,2.25,2.25,2.4
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-07-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$House Rent Allowance","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,5.5799,5.5799,5.7
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-08-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,2.5,2.5,3
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-03-00-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Travel Expenses","NULL","Establishmet Expenditure","North Cachar Non-entrusted","Voted",1,6.5,6.5,0
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-04-99-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Office Expenses$Others","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$কাৰ্য্যালয় ব্যয়$অন্যান্য","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Office Expenses","Others","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0.5,20,20,20
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-08-00-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Advertising, Sales and Publicity Expenses$NULL","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$বিজ্ঞাপন, বিক্ৰী আৰু প্ৰচাৰ ব্যয়$NULL","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Advertising, Sales and Publicity Expenses","NULL","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,0.25,0.25,0
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0152-000-26-02-EE-GA-C","Administration of Justice$NULL$High Courts$Establishment$NULL$Other Charges$Disaster management","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$অন্যান্য মাচুল$দুৰ্যোগ ব্যৱস্থাপনা","Administration of Justice","NULL","High Courts","Establishment","NULL","Other Charges","Disaster management","Establishmet Expenditure","General Area","Charged",84.93,1,1,2
